,error
370,12.301074926244192
371,12.285322974520131
372,12.260074300679522
373,12.221362762932756
374,12.216101324793371
375,12.216101324793371
376,12.189446593269485
377,12.188169252876271
378,12.186908464807324
379,12.175408535993416
380,12.173132563306314
381,12.153953336636453
382,12.145140904320263
383,12.12533473003984
384,12.050604762428259
385,12.046787092051948
386,12.046787092051948
387,11.996028717865526
388,11.838203856629688
389,11.826187475396187
390,11.81447473955463
391,11.81447473955463
392,11.780464733293485
393,11.773331526390256
394,11.738591400679796
395,11.689719620740703
396,11.688377942064244
397,11.65197267428964
398,11.630864884147087
399,11.616537156774477
400,11.57429524185492
401,11.53679534401147
402,11.53679534401147
403,11.530319493382107
404,11.521748635991305
405,11.519822723067172
406,11.503680046316545
407,11.493133406165793
408,11.474022429298405
409,11.438541150560999
410,11.429576272628983
411,11.426980514157716
412,11.426980514157716
413,11.405676791388668
414,11.381463969652012
415,11.381036610236105
416,11.37466247908186
417,11.309338718178957
418,11.245977008404015
419,11.232532957649031
420,11.231953133592464
421,11.231049283407904
422,11.22828950845657
423,11.22828950845657
424,11.218662230142256
425,11.207226579933602
426,11.200367455127619
427,11.19773279248972
428,11.18129344678632
429,11.170509212398207
430,11.126573907781356
431,11.107319043610264
432,11.104861703745467
433,11.057745236180185
434,11.053147266428335
435,11.042701216107423
436,11.021655433467037
437,11.017396397840928
438,11.009220588671887
439,11.007857526715469
440,10.999910750256456
441,10.999910750256456
442,10.963069072312798
443,10.932770478165532
444,10.932770478165532
445,10.924652839283235
446,10.921387757586999
447,10.921387757586999
448,10.916258628622572
449,10.91577097082809
450,10.848346733567583
451,10.848346733567583
452,10.84170242304017
453,10.808867820569244
454,10.80445121202226
455,10.790367810334399
456,10.781704646403389
457,10.781502348995899
458,10.780614855052239
459,10.663861239235363
460,10.566669337999663
461,10.564989739747501
462,10.56464720217863
463,10.56464720217863
464,10.56076637368628
465,10.553557919282218
466,10.543154435594307
467,10.537781772307849
468,10.526480322956425
469,10.524374448739232
470,10.517409332432091
471,10.517409332432091
472,10.510636177858858
473,10.50619908629176
474,10.484729849364983
475,10.484729849364983
476,10.46772942486293
477,10.46772942486293
478,10.445861082160182
479,10.445861082160182
480,10.433505538467568
481,10.419188116721381
482,10.415439745838075
483,10.372326759070155
484,10.363648760057314
485,10.346977025822703
486,10.325351559702371
487,10.325351559702371
488,10.283721346572733
489,10.235408381977958
490,10.235281395773438
491,10.202879071791049
492,10.202879071791049
493,10.17130370126662
494,10.156122529529428
495,10.145357986509243
496,10.102110838926302
497,10.092527636041162
498,10.090043039659028
499,10.089320802732702
500,10.085415540372301
501,10.079568567567842
502,10.079568567567842
503,10.053924742815846
504,10.030309962239109
505,10.030309962239109
506,10.023827297512947
507,10.00456502909873
508,10.000941507433414
509,9.950013305511133
510,9.948890762516509
511,9.948727412856996
512,9.917047832374378
513,9.903828000464882
514,9.900392904072518
515,9.887619870485086
516,9.84780625185862
517,9.84780625185862
518,9.825740403211816
519,9.790103257115506
520,9.77951069382266
521,9.685851607159478
522,9.685851607159478
523,9.66546939037033
524,9.64966637906475
525,9.64847813831535
526,9.606856842274356
527,9.589622270594495
528,9.562318978846534
529,9.561428267448418
530,9.537987962316585
531,9.52362787196052
532,9.51942150759935
533,9.517034717712999
534,9.50563767102734
535,9.486771736982197
536,9.443987065252799
537,9.443987065252799
538,9.398064516061169
539,9.389084555193856
540,9.371718550850785
541,9.371718550850785
542,9.367928885392546
543,9.365434479328025
544,9.362128344538919
545,9.345187787314611
546,9.33360357379088
547,9.308004537365683
548,9.307940889754548
549,9.294342347116423
550,9.271233730643232
551,9.237879254010894
552,9.235788153541202
553,9.213144596359555
554,9.210827299911626
555,9.182096308335638
556,9.170432607750941
557,9.17014810758748
558,9.164870547915992
559,9.161121080955413
560,9.139091006891372
561,9.126297082848147
562,9.126297082848147
563,9.12510780776287
564,9.123310268019024
565,9.115537508856473
566,9.085409908986271
567,9.079682815602261
568,9.073147633138378
569,9.0602208105997
570,9.058438721946533
571,9.040618448536934
572,9.037279345353365
573,9.037279345353365
574,8.991885248567865
575,8.979467941635885
576,8.976132844571506
577,8.972273304402188
578,8.963957307404577
579,8.939638381929832
580,8.913775380663472
581,8.898923226611776
582,8.89365875238364
583,8.875155302515664
584,8.84719216619231
585,8.842323803320593
586,8.815159454046226
587,8.800076855812637
588,8.774503670301886
589,8.720959024793071
590,8.696574803661592
591,8.686772552127442
592,8.683832081064491
593,8.683832081064491
594,8.68097421072212
595,8.680300414036791
596,8.673419006575829
597,8.661917699895765
598,8.622051315518695
599,8.618967084591262
600,8.615849020221155
601,8.615849020221155
602,8.593404700120967
603,8.588029070568727
604,8.559989856908958
605,8.559989856908958
606,8.55831253054218
607,8.55703894207738
608,8.547964622368497
609,8.546048563973882
610,8.54248943454029
611,8.532540453777195
612,8.532540453777195
613,8.521988464698287
614,8.476619782031936
615,8.475995729992391
616,8.471562802955027
617,8.471131542988244
618,8.46724296708691
619,8.455175933125457
620,8.453915137667925
621,8.45000677519337
622,8.44414998606357
623,8.443944805575278
624,8.443944805575278
625,8.415239259179149
626,8.4044462005016
627,8.401902820296366
628,8.394145632630408
629,8.388278801671582
630,8.387878113815956
631,8.387878113815956
632,8.387293569022347
633,8.386896099807473
634,8.37536217416416
635,8.37536217416416
636,8.355653742359385
637,8.346366138095524
