,error
209,2.88369976732401
210,0.0
211,0.0
212,0.0
213,0.0
214,2.808500880020461
215,0.6677004072583468
216,0.04900529219985071
217,8.978958975050588
218,0.5974853519803587
219,0.4592881989887309
220,2.2343836579052447
221,0.043950298272378785
222,0.0
223,0.043950298272378785
224,0.043950298272378785
225,0.0
226,0.0
227,0.043950298272378785
228,0.043950298272378785
229,0.043950298272378785
230,0.043950298272378785
231,0.043950298272378785
232,0.043950298272378785
233,0.043950298272378785
234,0.043950298272378785
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.29692887621066877
241,0.4199485534513225
242,9.50563767102734
243,0.12743101937137585
244,0.12743101937137585
245,0.13177473220296618
246,0.0052584954350482485
247,0.0
248,0.0052584954350482485
249,0.0052584954350482485
250,0.05329039478941696
251,0.05329039478941696
252,0.029783210447331187
253,0.029783210447331187
254,0.0
255,0.0
256,5.626589708242321
257,4.196290053843226
258,0.055617989770213976
259,0.055617989770213976
260,0.09440476995875498
261,0.09440476995875498
262,0.06004197354823554
263,0.07077679964396219
264,0.036159229448229316
265,0.13256118343969042
266,0.07426954046528365
267,0.11045955206248963
268,0.0850088687148929
269,0.033782684053887096
270,0.0
271,0.0
272,1.1231131999648576
273,0.2803237451475432
274,4.236916205700118
275,0.24832500275019417
276,0.24832500275019417
277,7.932985762773512
278,0.04241573927563383
279,0.04241573927563383
280,0.060061128415396
281,0.009057280188350478
282,0.03509376495056614
283,0.022238985328429384
284,0.053376795445285695
285,0.04119017160379689
286,0.04131199035676894
287,0.018844129040917184
288,0.03454652218407199
289,0.8164006659470382
290,0.38278263338762963
291,2.078360154981217
292,2.1096356947410606
293,3.5427309813058905
294,0.09069708860219125
295,5.194160902504533
296,0.16193092945228368
297,4.111596888166724
298,0.0
299,12.186908464807324
300,0.03202148472916143
301,0.03202148472916143
302,0.018926273205973617
303,0.15086757999015393
304,1.912080069987608
305,27.788540155971322
306,4.4567703861843055
307,0.00043347013963524166
308,0.0
309,7.390015082019013
310,3.0376428936194455
311,0.0
312,0.0
313,0.10155717507497795
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,3.303357228031214
330,2.898466986067245
331,0.04040844689140852
332,0.04040844689140852
333,0.017324191157298635
334,0.023815892737982337
335,0.01507919008509578
336,2.780158436933759
337,0.4244135509435828
338,0.43046257590068887
339,0.4332775520344102
340,0.41021400379483586
341,0.44234179478218294
342,0.4181016342844967
343,0.4162991218705022
344,0.43967643513997384
345,0.4174995358313569
346,1.172400383412567
347,0.0
348,0.0
349,0.15173658046417812
350,0.40535414519611584
351,0.0
352,0.0
353,0.0
354,0.0
355,13.079890894442824
356,0.0144856347911443
357,1.9636384790817603
358,0.4611739874307015
359,0.11678581082594539
360,0.8521010115622032
361,28.34960683836081
362,28.306119730493386
363,28.352058750117987
364,28.34159528133091
365,28.295637256272784
366,28.313692402050034
367,28.324915924555228
368,28.326473868267048
369,28.33477013037684
370,28.292931746062326
371,28.313016971709306
372,28.295594277291894
373,1.4551366678813515
374,33.66898298080095
375,2.131693435681431
376,0.0
377,0.043950298272378785
378,0.043950298272378785
379,4.04042554536797
380,0.1962562490860169
381,25.086315172047584
382,0.17322015304152535
383,1.3466337686922036
384,1.0013082218112437
385,0.08238195559550465
386,0.08238195559550465
387,4.125884271221504
388,0.13046163450139073
389,1.6471048900522605
390,0.2614874113774006
391,0.7693565263044803
392,0.4109239595719344
393,2.251443164968064
394,5.356450444759778
395,2.142755043916577
396,1.1272827906379916
397,0.0
398,0.0
399,0.0
400,0.09045788233477627
401,0.09045788233477627
402,0.1970118472420505
403,0.13057951628247985
404,0.4118942274233249
405,0.24948866004897283
406,0.022812848993781474
407,0.36099228279327367
408,0.06837026203581799
409,0.11619207622038999
410,12.559923990205961
411,20.421087907263825
412,0.995514661523519
413,0.0400434807519054
414,0.04669829459487535
415,3.5884225856075056
416,6.4685696464576745
417,0.39831420094005054
418,4.570903301745274
419,6.438728861095254
420,0.0
421,0.0
